original,updated/copied,status,notes,grammar_issue_flag
"Congress must advance progrowth  policies that create jobs and restore economic wealth for families  and businesses across the Nation, and it must make sure that the  administration and its regulatory apparatus are held accountable to the  American people.","Congress must advance pro-growth policies that create jobs and restore economic wealth for families and businesses across the Nation, and it must make sure that the administration and its regulatory apparatus are held accountable to the American people.",done,,
,,,,
And why is it okay that  Americans' home equity has dropped 35 percent during 2007-2009 thereby  affecting the very income wealth that the majority of middle class  Americans did have and yet not help to lift our economy by raising the  minimum wage?,"And why is it okay that Americans' home equity has dropped 35 percent during 2007-2009, thereby affecting the very income wealth that the majority of middle class Americans did have, and yet not help to lift our economy by raising the minimum wage?",done,,
,,,,
" I rise today to honor  Officer Gregg Benner of the Rio Rancho Police Department, who was  killed in the line of duty on March 25."," I rise today to honor Officer Gregg Benner of the Rio Rancho Police Department, who was killed in the line of duty on March 25.",review,25th?,
,,,,
They  don't want to recognize our Constitution; they want it supplanted and  replaced with Sharia law.,They don't want to recognize our Constitution. They want it supplanted and replaced with Sharia law.,done,,
,,,,
"This legislation is about making sure that the rising worker, whether  they are brand-new in the marketplace or whether they are an  entrepreneur, or a mom or a father out in the marketplace looking  for a job, will find the ability to be successful.","This legislation is about making sure that the rising worker, whether they are brand-new in the marketplace or whether they are an entrepreneur, or a mom or a father out in the marketplace looking for a job, will find the ability to be successful.",done,,
,,,,
"Chairman Walden announced that, while he does understand that the  program is scheduled to run through September 30, that the analysis  from the nonpartisan Medicaid and CHIP Payment and Access Commission  shows that States have enough funds remaining in their accounts through  the end of this year.","Chairman Walden announced that, while he does understand that the program is scheduled to run through September 30, that the analysis from the nonpartisan Medicaid and CHIP Payment and Access Commission shows that States have enough funds remaining in their accounts through the end of this year.",review,30th?,
